pdf_page,title,pdf_group,status,merged_into,section,category,role,url,aliases,parent,breadcrumb,page_type,recipe,primary_topic,intent,purpose,key_statement,angle,clusters,related,mentions,related_features,related_resources,related_faqs,related_use_cases,children,cta_primary,cta_contextual,seo_title,meta_description,canonical,schema_types,robots,in_sitemap,search_group,visual_medium,visual_concept,claims,needs_verification,publication,context_page,source_text
1,GetSibu — Creative Asset Management Platform,1-10 Platform,canonical,,Home,home,home,/,,,Home,— Home,home,getsibu — creative asset management platform,navigational,Establish what GetSibu is and route each audience to the right part of the site.,"GetSibu is an intelligent creative asset management platform designed to help teams store, organise, search, review and collaborate on videos, images, documents and audio from one central workspace.","Homepage: the platform in one statement — store, organise, search, review and collaborate from one workspace.",What GetSibu is; One central library,6 Centralised Creative Asset Library; 2 The Operating System for Creative Libraries; 3 AI-Powered Digital Asset Management; 5 Intelligent Media Library; 7 Modern Digital Asset Management; 10 One Source of Truth for Creative Teams,,6 Centralised Creative Asset Library; 2 The Operating System for Creative Libraries; 3 AI-Powered Digital Asset Management; 5 Intelligent Media Library,373 What Is a Creative Library?,381 What Is GetSibu?; 382 Who Is GetSibu For?,,0,Start free -> https://getsibu.com/signup,Bring Your Creative Assets Together -> /get-started/bring-your-creative-assets-together,GetSibu — Creative Asset Management Platform,"GetSibu is an intelligent creative asset management platform where teams store, organise, search, review and collaborate on videos, images, documents and audio.",/,WebPage Organization WebSite,"index,follow",true,Platform,product-ui diagram,"One central creative library: videos, images, documents and audio arriving from connected sources and becoming searchable.",,false,published,,"GetSibu is an intelligent creative asset management platform designed to help teams store, organise, search, review and collaborate on videos, images, documents and audio from one central workspace. Instead of depending on scattered folders, disconnected drives and complicated naming systems, GetSibu creates a searchable creative library where teams can quickly locate the right asset and understand its context."
2,The Operating System for Creative Libraries,1-10 Platform,canonical,,Platform,platform,section-root,/platform,,/,Home > The Operating System for Creative Libraries,A Product / Platform,platform-statement,the operating system for creative libraries,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,"GetSibu acts as an operating system for modern creative libraries by bringing storage, organisation, AI tagging, search, collaboration, permissions and analytics into one platform.","The operating-system idea: storage, organisation, AI tagging, search, collaboration, permissions and analytics as one platform.",What GetSibu is,3 AI-Powered Digital Asset Management; 5 Intelligent Media Library; 7 Modern Digital Asset Management; 120 Complete Asset Management; 360 Why Invest in GetSibu; 31 AI-Assisted Tagging,31 AI-Assisted Tagging; 151 Creative Asset Permissions; 181 Creative Asset Analytics,3 AI-Powered Digital Asset Management; 5 Intelligent Media Library; 7 Modern Digital Asset Management; 120 Complete Asset Management,,381 What Is GetSibu?; 382 Who Is GetSibu For?,,8,Start free -> https://getsibu.com/signup,Give Your Creative Team One Source of Truth -> /get-started/give-your-creative-team-one-source-of-truth,The Operating System for Creative Libraries | GetSibu,"GetSibu brings storage, organisation, AI tagging, search, collaboration, permissions and analytics into one platform: an operating system for creative work.",/platform,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",,false,published,,"GetSibu acts as an operating system for modern creative libraries by bringing storage, organisation, AI tagging, search, collaboration, permissions and analytics into one platform. Creative teams can connect existing storage sources, import assets, automatically process media and make the resulting library available to authorised team members."
3,AI-Powered Digital Asset Management,1-10 Platform,canonical,,Platform,platform,leaf,/platform/ai-powered-digital-asset-management,,/platform,Home > Platform > AI-Powered Digital Asset Management,A Product / Platform,platform-contrast,ai-powered digital asset management,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,GetSibu combines digital asset management with artificial intelligence to make large creative libraries easier to understand.,"Why AI belongs in DAM: the manual work AI tagging, scene detection, OCR, semantic search, face grouping and duplicate detection remove. / Platform positioning (see platform-positioning).","What GetSibu is; Practical, human-controlled AI",60 Practical AI for Creative Teams; 5 Intelligent Media Library; 2 The Operating System for Creative Libraries; 7 Modern Digital Asset Management; 9 AI-Aware Asset Management; 45 AI-Powered Asset Management,31 AI-Assisted Tagging; 38 AI OCR; 39 AI Semantic Search; 40 AI Duplicate Detection,60 Practical AI for Creative Teams; 5 Intelligent Media Library; 2 The Operating System for Creative Libraries; 7 Modern Digital Asset Management,362 What Is AI Asset Management?; 377 How AI Changes DAM,381 What Is GetSibu?; 382 Who Is GetSibu For?,,0,Start free -> https://getsibu.com/signup,Give Your Creative Team One Source of Truth -> /get-started/give-your-creative-team-one-source-of-truth,AI-Powered Digital Asset Management | GetSibu,AI-Powered Digital Asset Management: GetSibu is an intelligent creative asset management platform.,/platform/ai-powered-digital-asset-management,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",ai-tagging scene-detection face-grouping ocr semantic-search duplicate-detection,true,framed,1,"GetSibu combines digital asset management with artificial intelligence to make large creative libraries easier to understand. AI-assisted tagging, scene detection, OCR, semantic search, face grouping and duplicate detection help teams organise information that would otherwise require extensive manual work."
4,Creative Library Management,1-10 Platform,canonical,,Platform,platform,leaf,/platform/creative-library-management,,/platform,Home > Platform > Creative Library Management,A Product / Platform,platform-story,creative library management,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,"A growing creative team can quickly accumulate thousands of videos, images, documents and audio files.","Structure for a growing library: folders, tags, collections, metadata and permissions.",Organising the library,8 Creative Asset Organisation; 29 Creative Library Navigation; 57 AI Library Organisation; 375 What Is Asset Taxonomy?; 22 Media Metadata Management; 151 Creative Asset Permissions,22 Media Metadata Management; 151 Creative Asset Permissions,8 Creative Asset Organisation; 29 Creative Library Navigation; 57 AI Library Organisation; 22 Media Metadata Management,375 What Is Asset Taxonomy?,,,0,Start free -> https://getsibu.com/signup,Scale Your Creative Library -> /get-started/scale-your-creative-library,Creative Library Management | GetSibu,"A growing creative team can quickly accumulate thousands of videos, images, documents and audio files.",/platform/creative-library-management,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",,false,published,,"A growing creative team can quickly accumulate thousands of videos, images, documents and audio files. GetSibu provides a structured environment where those assets can be organised through folders, tags, collections, metadata and permissions, creating a reliable source of truth for the entire organisation."
5,Intelligent Media Library,1-10 Platform,canonical,,Platform,platform,leaf,/platform/intelligent-media-library,,/platform,Home > Platform > Intelligent Media Library,A Product / Platform,platform-statement,intelligent media library,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,GetSibu transforms a conventional media library into an intelligent information system.,"From media library to information system: search by what is in the asset, not its filename. / Platform framing (see platform-positioning): the media library as an information system.",What GetSibu is; Creative asset search,11 Creative Asset Search; 3 AI-Powered Digital Asset Management; 7 Modern Digital Asset Management; 2 The Operating System for Creative Libraries; 13 Media Search Platform; 16 Search Across Creative Libraries,38 AI OCR; 36 AI Colour Detection; 22 Media Metadata Management,11 Creative Asset Search; 3 AI-Powered Digital Asset Management; 7 Modern Digital Asset Management; 2 The Operating System for Creative Libraries,,381 What Is GetSibu?; 382 Who Is GetSibu For?,,0,Start free -> https://getsibu.com/signup,Stop Searching Through Folders -> /get-started/stop-searching-through-folders,Intelligent Media Library | GetSibu,Intelligent Media Library: GetSibu is an intelligent creative asset management platform.,/platform/intelligent-media-library,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",scene-detection,true,framed,1,"GetSibu transforms a conventional media library into an intelligent information system. Instead of searching only by filenames, users can search using descriptions, visual characteristics, extracted text, tags, people, colours, scenes, formats and other available metadata."
6,Centralised Creative Asset Library,1-10 Platform,canonical,,Platform,platform,leaf,/platform/centralised-creative-asset-library,,/platform,Home > Platform > Centralised Creative Asset Library,A Product / Platform,platform-contrast,centralised creative asset library,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,"GetSibu provides one central location for creative assets from connected drives, local infrastructure and direct uploads.","Bringing connected drives, local infrastructure and uploads into one location; fewer disconnected versions.",One central library,10 One Source of Truth for Creative Teams; 150 Centralised Media Storage; 373 What Is a Creative Library?; 91 Creative Asset Versioning; 127 Drag and Drop Upload; 395 Give Your Creative Team One Source of Truth,127 Drag and Drop Upload; 91 Creative Asset Versioning,10 One Source of Truth for Creative Teams; 150 Centralised Media Storage; 91 Creative Asset Versioning; 127 Drag and Drop Upload,373 What Is a Creative Library?,,,0,Start free -> https://getsibu.com/signup,Bring Your Creative Assets Together -> /get-started/bring-your-creative-assets-together,Centralised Creative Asset Library | GetSibu,"GetSibu provides one central location for creative assets from connected drives, local infrastructure and direct uploads.",/platform/centralised-creative-asset-library,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",,false,published,,"GetSibu provides one central location for creative assets from connected drives, local infrastructure and direct uploads. By bringing assets together, teams can reduce the confusion caused by multiple storage locations and disconnected versions of the same file."
7,Modern Digital Asset Management,1-10 Platform,canonical,,Platform,platform,leaf,/platform/modern-digital-asset-management,,/platform,Home > Platform > Modern Digital Asset Management,A Product / Platform,platform-statement,modern digital asset management,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,Traditional file storage focuses primarily on keeping files available.,Contrast with traditional file storage: what DAM adds for creative workflows.,What GetSibu is; DAM fundamentals,361 What Is Digital Asset Management?; 5 Intelligent Media Library; 3 AI-Powered Digital Asset Management; 2 The Operating System for Creative Libraries; 120 Complete Asset Management; 360 Why Invest in GetSibu,67 Creative Approval Workflow; 91 Creative Asset Versioning; 181 Creative Asset Analytics; 151 Creative Asset Permissions,5 Intelligent Media Library; 3 AI-Powered Digital Asset Management; 2 The Operating System for Creative Libraries; 120 Complete Asset Management,361 What Is Digital Asset Management?; 373 What Is a Creative Library?; 374 What Is Asset Metadata?,381 What Is GetSibu?; 382 Who Is GetSibu For?,,0,Start free -> https://getsibu.com/signup,Give Your Creative Team One Source of Truth -> /get-started/give-your-creative-team-one-source-of-truth,Modern Digital Asset Management | GetSibu,Traditional file storage focuses primarily on keeping files available.,/platform/modern-digital-asset-management,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",,false,published,,"Traditional file storage focuses primarily on keeping files available. GetSibu extends that concept by adding AI-assisted organisation, contextual search, collaboration, approvals, version history, analytics and permission controls specifically designed for creative workflows."
8,Creative Asset Organisation,1-10 Platform,canonical,,Platform,platform,leaf,/platform/creative-asset-organisation,,/platform,Home > Platform > Creative Asset Organisation,A Product / Platform,platform-story,creative asset organisation,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,GetSibu helps teams organise creative assets using structured folders and scalable taxonomies.,"Taxonomy that scales: hierarchical tags, synonyms, colours and inheritance.",Organising the library,375 What Is Asset Taxonomy?; 4 Creative Library Management; 29 Creative Library Navigation; 57 AI Library Organisation; 36 AI Colour Detection; 399 Bring Order to Creative Chaos,375 What Is Asset Taxonomy?; 36 AI Colour Detection,4 Creative Library Management; 29 Creative Library Navigation; 57 AI Library Organisation; 36 AI Colour Detection,375 What Is Asset Taxonomy?,,,0,Start free -> https://getsibu.com/signup,Scale Your Creative Library -> /get-started/scale-your-creative-library,Creative Asset Organisation | GetSibu,GetSibu helps teams organise creative assets using structured folders and scalable taxonomies.,/platform/creative-asset-organisation,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",taxonomy,false,published,,"GetSibu helps teams organise creative assets using structured folders and scalable taxonomies. Hierarchical tags, synonyms, colours and inheritance make it possible to create an organisation system that remains useful even when the library grows to thousands or millions of assets."
9,AI-Aware Asset Management,1-10 Platform,canonical,,Platform,platform,leaf,/platform/ai-aware-asset-management,,/platform,Home > Platform > AI-Aware Asset Management,A Product / Platform,platform-contrast,ai-aware asset management,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,AI-aware asset management allows GetSibu to analyse media and recommend meaningful tags and classifications.,"Platform stance: AI recommends, teams approve in bulk or override, and keep control of organisation.","AI-assisted tagging; Practical, human-controlled AI",31 AI-Assisted Tagging; 42 AI Asset Classification; 60 Practical AI for Creative Teams; 3 AI-Powered Digital Asset Management; 45 AI-Powered Asset Management; 46 AI Tag Confidence,42 AI Asset Classification; 31 AI-Assisted Tagging,31 AI-Assisted Tagging; 42 AI Asset Classification; 60 Practical AI for Creative Teams; 3 AI-Powered Digital Asset Management,362 What Is AI Asset Management?; 364 What Is AI Tagging?; 377 How AI Changes DAM,383 Does GetSibu Support AI Tagging?,,0,Start free -> https://getsibu.com/signup,Give Your Creative Team One Source of Truth -> /get-started/give-your-creative-team-one-source-of-truth,AI-Aware Asset Management | GetSibu,AI-aware asset management allows GetSibu to analyse media and recommend meaningful tags and classifications.,/platform/ai-aware-asset-management,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",ai-tagging,false,published,,"AI-aware asset management allows GetSibu to analyse media and recommend meaningful tags and classifications. Teams can approve AI suggestions in bulk, override them when necessary and maintain control over how their library is organised."
10,One Source of Truth for Creative Teams,1-10 Platform,canonical,,Platform,platform,leaf,/platform/one-source-of-truth-for-creative-teams,,/platform,Home > Platform > One Source of Truth for Creative Teams,A Product / Platform,platform-statement,one source of truth for creative teams,commercial,Explain a platform-level idea of GetSibu and show how its parts combine into one creative library.,"GetSibu gives creative, marketing, production and brand teams a shared source of truth for their digital assets.","A shared source of truth across creative, marketing, production and brand teams, governed by permissions and approvals.",One central library,6 Centralised Creative Asset Library; 150 Centralised Media Storage; 373 What Is a Creative Library?; 67 Creative Approval Workflow; 151 Creative Asset Permissions; 9 AI-Aware Asset Management,151 Creative Asset Permissions; 67 Creative Approval Workflow,6 Centralised Creative Asset Library; 150 Centralised Media Storage; 67 Creative Approval Workflow; 151 Creative Asset Permissions,373 What Is a Creative Library?,,,0,Start free -> https://getsibu.com/signup,Bring Your Creative Assets Together -> /get-started/bring-your-creative-assets-together,One Source of Truth for Creative Teams | GetSibu,"GetSibu gives creative, marketing, production and brand teams a shared source of truth for their digital assets.",/platform/one-source-of-truth-for-creative-teams,WebPage BreadcrumbList,"index,follow",true,Platform,diagram product-ui,"The library as a system: storage, organisation, AI tagging, search, collaboration, permissions and analytics as connected layers (PDF p.2).",,false,published,,"GetSibu gives creative, marketing, production and brand teams a shared source of truth for their digital assets. Everyone works from the same organised library, while permissions and approval workflows help ensure that users access and distribute the right content."
11,Creative Asset Search,11-30 Core Product Pages,canonical,,Features,search-discovery,leaf,/features/creative-asset-search,,/features/search-and-discovery,Home > Features > Search & Discovery > Creative Asset Search,B Feature,feature-split,creative asset search,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","GetSibu makes creative assets searchable through filenames, metadata, OCR, AI-generated tags, comments and semantic information.","The signals search uses: filenames, metadata, OCR, AI-generated tags, comments and semantic information.",Creative asset search,13 Media Search Platform; 16 Search Across Creative Libraries; 5 Intelligent Media Library; 23 Asset Metadata Search; 24 Creative File Discovery; 393 Stop Searching Through Folders,22 Media Metadata Management; 38 AI OCR; 31 AI-Assisted Tagging; 62 Asset Comments; 39 AI Semantic Search; 18 Natural Language Asset Search,13 Media Search Platform; 16 Search Across Creative Libraries; 5 Intelligent Media Library; 23 Asset Metadata Search,,,,0,Start free -> https://getsibu.com/signup,Stop Searching Through Folders -> /get-started/stop-searching-through-folders,Creative Asset Search | GetSibu,"GetSibu makes creative assets searchable through filenames, metadata, OCR, AI-generated tags, comments and semantic information.",/features/creative-asset-search,WebPage BreadcrumbList,"index,follow",true,Search & Discovery,product-ui diagram,"A query resolving against a large creative library: filters narrowing results, previews, the matched signal (filename, metadata, OCR text, tag) made visible.",ocr,false,published,,"GetSibu makes creative assets searchable through filenames, metadata, OCR, AI-generated tags, comments and semantic information. Users can search for a specific asset or describe what they need in natural language and let the platform interpret the request."
