TopicNumber,Topic,URL,Publication,Category,HeroImage,HeroFilename,HeroAltText,SectionImageCount,SectionImagePaths,Uniqueness,Format,QAStatus
1,"GetSibu — Creative Asset Management Platform","/",published,home,"/images/topics/getsibu-creative-asset-management-platform/getsibu-creative-asset-management-platform-hero.webp","getsibu-creative-asset-management-platform-hero.webp","Illustrative photograph of a creative team working with a shared media library",2,"/images/topics/getsibu-creative-asset-management-platform/getsibu-creative-asset-management-platform-a-creative-library-that-unders.webp; /images/topics/getsibu-creative-asset-management-platform/getsibu-creative-asset-management-platform-six-ideas-behind-a-library-tea.webp",verified-unique,webp,passed
2,"The Operating System for Creative Libraries","/platform",published,platform,"/images/topics/the-operating-system-for-creative-libraries/the-operating-system-for-creative-libraries-hero.webp","the-operating-system-for-creative-libraries-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",2,"/images/topics/the-operating-system-for-creative-libraries/the-operating-system-for-creative-libraries-seven-library-jobs-running-on-.webp; /images/topics/the-operating-system-for-creative-libraries/the-operating-system-for-creative-libraries-one-product-shoot-followed-thr.webp",verified-unique,webp,passed
3,"AI-Powered Digital Asset Management","/platform/ai-powered-digital-asset-management",framed,platform,"/images/topics/ai-powered-digital-asset-management/ai-powered-digital-asset-management-hero.webp","ai-powered-digital-asset-management-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",2,"/images/topics/ai-powered-digital-asset-management/ai-powered-digital-asset-management-the-library-work-that-grows-fa.webp; /images/topics/ai-powered-digital-asset-management/ai-powered-digital-asset-management-where-ai-does-its-work-as-an-a.webp",verified-unique,webp,passed
4,"Creative Library Management","/platform/creative-library-management",published,platform,"/images/topics/creative-library-management/creative-library-management-hero.webp","creative-library-management-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",2,"/images/topics/creative-library-management/creative-library-management-structure-that-keeps-pace-with.webp; /images/topics/creative-library-management/creative-library-management-five-tools-that-give-a-library.webp",verified-unique,webp,passed
5,"Intelligent Media Library","/platform/intelligent-media-library",framed,platform,"/images/topics/intelligent-media-library/intelligent-media-library-hero.webp","intelligent-media-library-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",2,"/images/topics/intelligent-media-library/intelligent-media-library-when-the-library-knows-what-it.webp; /images/topics/intelligent-media-library/intelligent-media-library-an-old-campaign-image-found-fr.webp",verified-unique,webp,passed
6,"Centralised Creative Asset Library","/platform/centralised-creative-asset-library",published,platform,"/images/topics/centralised-creative-asset-library/centralised-creative-asset-library-hero.webp","centralised-creative-asset-library-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",1,"/images/topics/centralised-creative-asset-library/centralised-creative-asset-library-every-asset-in-one-place-whate.webp",verified-unique,webp,passed
7,"Modern Digital Asset Management","/platform/modern-digital-asset-management",published,platform,"/images/topics/modern-digital-asset-management/modern-digital-asset-management-hero.webp","modern-digital-asset-management-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",2,"/images/topics/modern-digital-asset-management/modern-digital-asset-management-beyond-keeping-files-available.webp; /images/topics/modern-digital-asset-management/modern-digital-asset-management-a-studio-that-outgrew-its-shar.webp",verified-unique,webp,passed
8,"Creative Asset Organisation","/platform/creative-asset-organisation",published,platform,"/images/topics/creative-asset-organisation/creative-asset-organisation-hero.webp","creative-asset-organisation-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",1,"/images/topics/creative-asset-organisation/creative-asset-organisation-a-taxonomy-that-still-works-at.webp",verified-unique,webp,passed
9,"AI-Aware Asset Management","/platform/ai-aware-asset-management",published,platform,"/images/topics/ai-aware-asset-management/ai-aware-asset-management-hero.webp","ai-aware-asset-management-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",1,"/images/topics/ai-aware-asset-management/ai-aware-asset-management-ai-proposes-the-team-decides.webp",verified-unique,webp,passed
10,"One Source of Truth for Creative Teams","/platform/one-source-of-truth-for-creative-teams",published,platform,"/images/topics/one-source-of-truth-for-creative-teams/one-source-of-truth-for-creative-teams-hero.webp","one-source-of-truth-for-creative-teams-hero.webp","Illustrative photograph of a creative studio working across video, images and documents",3,"/images/topics/one-source-of-truth-for-creative-teams/one-source-of-truth-for-creative-teams-every-team-working-from-the-sa.webp; /images/topics/one-source-of-truth-for-creative-teams/one-source-of-truth-for-creative-teams-from-upload-to-the-version-eve.webp; /images/topics/one-source-of-truth-for-creative-teams/one-source-of-truth-for-creative-teams-a-product-rename-that-reaches-.webp",verified-unique,webp,passed
11,"Creative Asset Search","/features/creative-asset-search",published,search-discovery,"/images/topics/creative-asset-search/creative-asset-search-hero.webp","creative-asset-search-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/creative-asset-search/creative-asset-search-six-kinds-of-information-behin.webp; /images/topics/creative-asset-search/creative-asset-search-what-each-signal-contributes-t.webp",verified-unique,webp,passed
12,"AI Asset Discovery","/features/ai-asset-discovery",published,search-discovery,"/images/topics/ai-asset-discovery/ai-asset-discovery-hero.webp","ai-asset-discovery-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/ai-asset-discovery/ai-asset-discovery-discovery-that-starts-from-the.webp; /images/topics/ai-asset-discovery/ai-asset-discovery-a-product-photography-archive-.webp",verified-unique,webp,passed
13,"Media Search Platform","/features/media-search-platform",published,search-discovery,"/images/topics/media-search-platform/media-search-platform-hero.webp","media-search-platform-hero.webp","Illustrative photograph of a person looking through a large visual archive",1,"/images/topics/media-search-platform/media-search-platform-a-search-experience-shaped-aro.webp",verified-unique,webp,passed
14,"Semantic Creative Search","/features/semantic-creative-search",published,search-discovery,"/images/topics/semantic-creative-search/semantic-creative-search-hero.webp","semantic-creative-search-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/semantic-creative-search/semantic-creative-search-asking-for-a-look-a-mood-or-a-.webp; /images/topics/semantic-creative-search/semantic-creative-search-where-the-meaning-in-a-semanti.webp",verified-unique,webp,passed
