pdf_page,pdf_group,pdf_topic,pdf_words,website_url,http_status,redirect_to,exists,published,indexable,in_sitemap,in_search,in_navigation,hub_linked,inbound_contextual,inbound_hub,own_pdf_text_rendered,topic_match,content_match,content_depth,structure_match,structure_elements,topic_specific_words,context_words,topic_sections_beyond_hero,max_prose_overlap,most_similar_pdf_page,duplication,hero_visual,claims,context_page,status,notes
1,1-10 Platform,GetSibu — Creative Asset Management Platform,58,/,200,,yes,published,yes,yes,yes,no,yes,348,20,yes,PASS,PASS,developed,PASS,hero|introduction|features|benefits|workflow|use-case|cta,,,,0.038,3,no,library-search,,,PASS,
2,1-10 Platform,The Operating System for Creative Libraries,46,/platform,200,,yes,published,yes,yes,yes,mega menu,yes,21,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|faq|cta,46,217,0,0.524,7,no,library-search,,,PARTIAL,THIN: topic-specific content is only the 46-word PDF paragraph in the hero; every other section is neighbouring-topic context
3,1-10 Platform,AI-Powered Digital Asset Management,39,/platform/ai-powered-digital-asset-management,200,,yes,framed,yes,yes,yes,no,yes,10,1,no,PARTIAL,PARTIAL,withheld,PARTIAL,hero|features|workflow|faq|cta,19,92,1,0.215,60,no,ai-review:tags,ai-tagging scene-detection face-grouping ocr semantic-search duplicate-detection,/,PARTIAL,"Topic (manual): Hero shows the platform statement (PDF 1), not PDF 3; the 'Named in this page' workflow (tagging, OCR, semantic search, duplicates) conveys AI-powered DAM. / Framed: own PDF paragraph withheld (claims: ai-tagging, scene-detection, face-grouping, ocr, semantic-search, duplicate-detection); verified context from PDF 1"
4,1-10 Platform,Creative Library Management,43,/platform/creative-library-management,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,71,57,1,0.302,235,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
5,1-10 Platform,Intelligent Media Library,35,/platform/intelligent-media-library,200,,yes,framed,yes,yes,yes,no,yes,11,1,no,PARTIAL,PARTIAL,withheld,PASS,hero|introduction|features|workflow|faq|cta,0,311,0,0.43,7,no,search-signals:semantic,scene-detection,/,PARTIAL,"Topic (manual): Hero shows PDF 1; search sections convey an intelligent library, but 'intelligent media library' is not explained. / Framed: own PDF paragraph withheld (claims: scene-detection); verified context from PDF 1"
6,1-10 Platform,Centralised Creative Asset Library,37,/platform/centralised-creative-asset-library,200,,yes,published,yes,yes,yes,mega menu,yes,8,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|benefits|cta,37,46,0,0.217,370,no,ingest-pipeline:sources,,,PARTIAL,THIN: topic-specific content is only the 37-word PDF paragraph in the hero; every other section is neighbouring-topic context
7,1-10 Platform,Modern Digital Asset Management,32,/platform/modern-digital-asset-management,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|faq|cta,32,217,0,0.65,360,near-duplicate,library-search,,,PARTIAL,Topic (manual): Contrasts traditional file storage with what GetSibu adds (PDF 7 wording): the modern-DAM topic is clear without the title. / THIN: topic-specific content is only the 32-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 360 /business-value/why-invest-in-getsibu (prose overlap 0.65)
8,1-10 Platform,Creative Asset Organisation,40,/platform/creative-asset-organisation,200,,yes,published,yes,yes,yes,mega menu,yes,23,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,114,127,2,0.601,395,near-duplicate,media-library,taxonomy,,PARTIAL,Near-duplicate of PDF 395 /get-started/give-your-creative-team-one-source-of-truth (prose overlap 0.601)
9,1-10 Platform,AI-Aware Asset Management,34,/platform/ai-aware-asset-management,200,,yes,published,yes,yes,yes,no,yes,14,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|faq|cta,34,165,0,0.457,394,no,ai-review:approve,ai-tagging,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
10,1-10 Platform,One Source of Truth for Creative Teams,39,/platform/one-source-of-truth-for-creative-teams,200,,yes,published,yes,yes,yes,mega menu,yes,7,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,39,143,0,0.389,61,no,folder-access:team,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
11,11-30 Core Product Pages,Creative Asset Search,37,/features/creative-asset-search,200,,yes,published,yes,yes,yes,mega menu,yes,34,5,yes,PASS,PASS,developed,PASS,hero|introduction|features|benefits|workflow|cta,96,29,3,0.584,26,no,search-signals,ocr,,PASS,
12,11-30 Core Product Pages,AI Asset Discovery,37,/features/ai-asset-discovery,200,,yes,published,yes,yes,yes,no,yes,31,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,37,110,0,0.5,30,no,library-search,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
13,11-30 Core Product Pages,Media Search Platform,33,/features/media-search-platform,200,,yes,published,yes,yes,yes,no,yes,9,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|cta,33,15,0,0.159,393,no,search-signals:metadata,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
14,11-30 Core Product Pages,Semantic Creative Search,42,/features/semantic-creative-search,200,,yes,published,yes,yes,yes,mega menu,yes,5,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|benefits|workflow|cta,68,29,2,0.481,26,no,search-signals:semantic,semantic-search,,PASS,
15,11-30 Core Product Pages,OCR-Powered Asset Search,37,/features/ocr-powered-asset-search,200,,yes,published,yes,yes,yes,mega menu,yes,15,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|benefits|workflow|faq|cta,66,110,2,0.621,53,near-duplicate,search-signals:ocr,ocr,,PARTIAL,"Topic (manual): Missing term is a modifier (e.g. 'Powered', 'Advanced', 'DAM'); the PDF paragraph states the topic. / Near-duplicate of PDF 53 /features/ai-document-discovery (prose overlap 0.621)"
16,11-30 Core Product Pages,Search Across Creative Libraries,32,/features/search-across-creative-libraries,200,,yes,published,yes,yes,yes,no,yes,6,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,32,29,0,0.436,11,no,search-signals,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
